iteration,start_flag,x,y,raw_angle,distance,quality
1,0,-235.7780654,1965.911672,96.839,1980,188
1,0,-247.762501,1974.516078,97.1521,1990,188
1,0,-259.6377884,1977.024081,97.4817,1994,188
1,0,-269.8950524,1971.612706,97.7948,1990,188
1,0,-280.6650948,1970.108399,98.1079,1990,188
1,0,-291.7001832,1966.482902,98.4375,1988,188
1,0,-302.5573311,1966.865288,98.7451,1990,188
1,0,-314.8131943,1971.017162,99.0747,1996,188
1,0,-325.9055434,1971.240619,99.3878,1998,188
1,0,-337.5774348,1971.304511,99.7174,2000,188
1,0,-349.0586929,1973.366167,100.031,2004,188
1,0,-360.2121752,1971.360745,100.355,2004,188
1,0,-371.7165262,1973.294409,100.668,2008,188
1,0,-382.8717646,1973.197712,100.981,2010,188
1,0,-394.5879891,1972.927854,101.31,2012,188
1,0,-406.2002657,1974.653728,101.624,2016,188
1,0,-418.3606685,1976.202002,101.953,2020,188
1,0,-428.977872,1973.924514,102.261,2020,188
1,0,-440.3052751,1971.428737,102.59,2020,188
1,0,-451.5149336,1970.943496,102.903,2022,188
1,0,-462.8592014,1968.31028,103.233,2022,188
1,0,-474.0733373,1967.696743,103.546,2024,188
1,0,-485.7736356,1968.961141,103.859,2028,188
1,0,-497.3900618,1968.121726,104.183,2030,188
1,0,-509.6360749,1971.18418,104.496,2036,188
1,0,-522.0043028,1972.083038,104.826,2040,188
1,0,-533.2920375,1971.132569,105.139,2042,188
1,0,-544.6360379,1968.02835,105.469,2042,188
1,0,-555.716936,1967.006529,105.776,2044,188
1,0,-568.1464614,1967.616222,106.106,2048,188
1,0,-577.9558834,1968.926356,106.359,2052,188
1,0,-589.0805995,1965.62663,106.683,2052,188
1,0,-599.8097396,1962.379239,106.996,2052,188
1,0,-614.6415296,1970.35829,107.325,2064,188
1,0,-627.8546158,1974.584154,107.639,2072,188
1,0,-636.7146418,1963.336564,107.968,2064,188
1,0,-648.6852712,1963.627108,108.281,2068,188
1,0,-664.8835623,1975.091352,108.605,2084,188
1,0,-676.9601343,1975.213653,108.918,2088,188
1,0,-687.7747444,1971.474043,109.232,2088,188
1,0,-701.7622922,1975.030553,109.561,2096,188
1,0,-715.2607458,1978.690998,109.874,2104,188
1,0,-726.4384841,1974.614679,110.198,2104,188
1,0,-740.0177726,1978.109627,110.511,2112,188
1,0,-752.8216323,1977.55293,110.841,2116,188
1,0,-763.6134808,1973.410868,111.154,2116,188
1,0,-774.966783,1968.980062,111.484,2116,188
1,0,-788.6820225,1972.145194,111.797,2124,188
1,0,-800.7428774,1971.597029,112.104,2128,188
1,0,-815.1380684,1974.346963,112.434,2136,188
1,0,-827.458124,1973.553408,112.747,2140,188
1,0,-837.2433169,1965.074968,113.077,2136,188
1,0,-851.1416421,1967.8145,113.39,2144,188
1,0,-870.299133,1981.281257,113.714,2164,188
1,0,-887.6242694,1991.111036,114.027,2180,188
1,0,-899.0774598,1985.96569,114.357,2180,188
1,0,-911.5826489,1984.659435,114.67,2184,188
1,0,-924.6541466,1983.017577,114.999,2188,188
1,0,-937.1834725,1981.552709,115.312,2192,188
1,0,-951.2811471,1983.699619,115.62,2200,188
1,0,-962.6905952,1978.187761,115.95,2200,188
1,0,-978.7926862,1983.660474,116.263,2212,188
1,0,-990.16693,1978.007445,116.592,2212,188
1,0,-1002.80226,1976.118323,116.906,2216,188
1,0,-1017.621361,1977.52946,117.23,2224,188
1,0,-1028.40913,1971.940836,117.543,2224,188
1,0,-1041.585252,1969.539074,117.872,2228,188
1,0,-1054.218294,1967.345366,118.185,2232,188
1,0,-1072.799474,1980.05184,118.449,2252,188
1,0,-1093.223646,1991.694268,118.762,2272,188
1,0,-1104.676786,1985.364752,119.092,2272,188
1,0,-1123.361735,1993.239176,119.405,2288,188
1,0,-1140.565995,1997.275447,119.729,2300,188
1,0,-1151.459799,1991.0149,120.042,2300,188
1,0,-1164.930509,1987.801024,120.372,2304,188
1,0,-1177.813463,1984.847462,120.685,2308,188
1,0,-1188.638819,1978.383623,120.998,2308,188
1,0,-1204.173205,1978.338417,121.328,2316,188
1,0,-1233.848039,2002.379339,121.641,2352,188
1,0,-1257.857067,2015.731034,121.965,2376,188
1,0,-1266.71383,2005.447599,122.278,2372,188
1,0,-1282.51942,2004.880031,122.607,2380,188
1,0,-1295.661446,2001.179007,122.921,2384,188
1,0,-1309.149952,1997.165593,123.245,2388,188
